SubjID,SubjAge,category,category_nr,visSim,artificiality,item,item_nr,picture_id,RT,Response
4,20,Huftier,10,1,nat,Esel,1,C10I01_Esel_0,772,länglich
4,20,Fahrzeug,19,0,art,Fahrrad,4,C19I04_Fahrrad_0,3039,länglich
4,20,Obst,13,0,nat,Kirsche,7,C13I07_Kirsche_0,5796,gleich
4,20,Bekleidung,12,1,art,Hemd,3,C12I03_Hemd_0,557,gleich
4,20,Huftier,10,1,nat,Pferd,9,C10I09_Pferd_0,397,länglich
4,20,Gemüse,5,0,nat,Zwiebel,15,C05I15_Zwiebel_0,657,gleich
4,20,Gebäude,4,0,art,Leuchtturm,9,C04I09_Leuchtturm_0,497,länglich
4,20,Vogel,21,1,nat,Papagei,7,C21I07_Papagei_0,493,länglich
4,20,Geschirr,6,0,art,Schüssel,10,C06I10_Schüssel_0,3471,länglich
4,20,Insekt,7,0,nat,Marienkäfer,9,C07I09_Marienkäfer_0,979,gleich
4,20,Gemüse,5,0,nat,Paprika,11,C05I11_Paprika_0,849,länglich
4,20,Bekleidung,12,1,art,Bluse,2,C12I02_Bluse_0,477,gleich
4,20,Fahrzeug,19,0,art,Traktor,12,C19I12_Traktor_0,624,gleich
4,20,Obst,13,0,nat,Zitrone,11,C13I11_Zitrone_0,1216,länglich
4,20,Vogel,21,1,nat,Eule,3,C21I03_Eule_0,2673,länglich
4,20,Insekt,7,0,nat,Ameise,1,C07I01_Ameise_0,675,gleich
4,20,Gebäude,4,0,art,Kirche,8,C04I08_Kirche_0,813,länglich
4,20,Vogel,21,1,nat,Taube,12,C21I12_Taube_0,1083,länglich
4,20,Elektrogerät,3,1,art,Fernseher,2,C03I02_Fernseher_0,531,gleich
4,20,Gemüse,5,0,nat,Möhre,7,C05I07_Möhre_0,373,länglich
4,20,Elektrogerät,3,1,art,Toaster,9,C03I09_Toaster_0,1009,länglich
4,20,Huftier,10,1,nat,Kuh,7,C10I07_Kuh_0,335,länglich
4,20,Geschirr,6,0,art,Teller,12,C06I12_Teller_0,1406,gleich
4,20,Elektrogerät,3,1,art,Waschmaschine,10,C03I10_Waschmaschine_0,1520,gleich
4,20,Pflanze,14,1,nat,Löwenzahn,10,C14I10_Löwenzahn_0,989,gleich
4,20,Fahrzeug,19,0,art,Roller,10,C19I10_Roller_0,1172,länglich
4,20,Werkzeug,25,1,art,Axt,1,C25I01_Axt_0,482,länglich
4,20,Gebäude,4,0,art,Iglu,7,C04I07_Iglu_0,578,gleich
4,20,Insekt,7,0,nat,Schmetterling,11,C07I11_Schmetterling_0,892,gleich
4,20,Gebäude,4,0,art,Windmühle,15,C04I15_Windmühle_0,692,länglich
4,20,Pflanze,14,1,nat,Sonnenblume,19,C14I19_Sonnenblume_0,1091,gleich
4,20,Vogel,21,1,nat,Adler,1,C21I01_Adler_0,671,gleich
4,20,Gemüse,5,0,nat,Brokkoli,4,C05I04_Brokkoli_0,884,gleich
4,20,Bekleidung,12,1,art,Mantel,15,C12I15_Mantel_0,944,länglich
4,20,Huftier,10,1,nat,Ziege,14,C10I14_Ziege_0,800,länglich
4,20,Elektrogerät,3,1,art,Spülmaschine,4,C03I04_Spülmaschine_0,355,gleich
4,20,Obst,13,0,nat,Himbeere,5,C13I05_Himbeere_0,780,gleich
4,20,Geschirr,6,0,art,Salzstreuer,7,C06I07_Salzstreuer_0,500,länglich
4,20,Insekt,7,0,nat,Fliege,3,C07I03_Fliege_0,639,gleich
4,20,Huftier,10,1,nat,Hirsch,4,C10I04_Hirsch_0,605,gleich
4,20,Werkzeug,25,1,art,Zange,13,C25I13_Zange_0,448,länglich
4,20,Gemüse,5,0,nat,Spargel,16,C05I16_Spargel_0,413,länglich
4,20,Vogel,21,1,nat,Storch,11,C21I11_Storch_0,947,länglich
4,20,Fahrzeug,19,0,art,Bus,2,C19I02_Bus_0,404,länglich
4,20,Elektrogerät,3,1,art,Mikrowelle,8,C03I08_Mikrowelle_0,411,länglich
5,23,Gemüse,5,0,nat,Zwiebel,15,C05I15_Zwiebel_0,1693,gleich
5,23,Fahrzeug,19,0,art,Auto,1,C19I01_Auto_0,3391,länglich
5,23,Insekt,7,0,nat,Ameise,1,C07I01_Ameise_0,1997,länglich
5,23,Pflanze,14,1,nat,Löwenzahn,10,C14I10_Löwenzahn_0,927,länglich
5,23,Gebäude,4,0,art,Leuchtturm,9,C04I09_Leuchtturm_0,1872,gleich
5,23,Werkzeug,25,1,art,Säge,5,C25I05_Säge_0,1412,länglich
5,23,Obst,13,0,nat,Zitrone,11,C13I11_Zitrone_0,1404,gleich
5,23,Bekleidung,12,1,art,Uniform,12,C12I12_Uniform_0,814,länglich
5,23,Vogel,21,1,nat,Taube,12,C21I12_Taube_0,2302,länglich
5,23,Insekt,7,0,nat,Marienkäfer,9,C07I09_Marienkäfer_0,1364,länglich
5,23,Bekleidung,12,1,art,Jacke,6,C12I06_Jacke_0,2766,gleich
5,23,Insekt,7,0,nat,Schmetterling,11,C07I11_Schmetterling_0,5164,länglich
5,23,Fahrzeug,19,0,art,Roller,10,C19I10_Roller_0,1972,länglich
