pairID,pairType,visualType,ratingType,aggregator,ratings
microwave-windmill,between,Mix,conceptual,median,1.0
television-windmill,between,Mix,conceptual,median,1.0
toaster-windmill,between,Mix,conceptual,median,1.0
washing machine-windmill,between,Mix,conceptual,median,1.0
blouse-windmill,between,Mix,conceptual,median,1.0
coat-windmill,between,Mix,conceptual,median,1.0
jacket-windmill,between,Mix,conceptual,median,1.0
shirt-windmill,between,Mix,conceptual,median,1.0
uniform-windmill,between,Mix,conceptual,median,1.0
bicycle-bus,within ,Mix,conceptual,median,5.0
bicycle-car,within ,Mix,conceptual,median,5.0
bicycle-scooter,within ,Mix,conceptual,median,5.0
bicycle-tractor,within ,Mix,conceptual,median,4.0
ant-bicycle,between,Mix,conceptual,median,1.0
bicycle-butterfly,between,Mix,conceptual,median,1.0
